layout,target_name,sensor_id,contact_x_m,contact_y_m,sensor_x_m,sensor_y_m,Fx,Fy,Fz,Tx,Ty,Tz,weight,force_mag_N,centroid_error_mm,ls_error_mm
inset_090,Target_786,4,0.12,0.13,-0.09,0.09,0.0,0.0,-0.4830677100922144,-0.01932270840368858,0.10144421911936502,0.0,0.04830677100922144,0.4830677100922144,67.745160504267,8.777083671441753e-14
inset_090,Target_787,1,0.11,0.13,-0.09,-0.09,0.0,0.0,-0.20351480069728842,-0.044773256153403454,0.040702960139457685,0.0,0.020351480069728842,0.20351480069728842,59.32087460632209,8.441528768080325e-14
inset_090,Target_787,2,0.11,0.13,0.09,-0.09,0.0,0.0,-0.3686620570008258,-0.08110565254018168,0.007373241140016518,0.0,0.03686620570008258,0.3686620570008258,59.32087460632209,8.441528768080325e-14
inset_090,Target_787,3,0.11,0.13,0.09,0.09,0.0,0.0,-8.995354190820148,-0.359814167632806,0.179907083816403,0.0,0.8995354190820147,8.995354190820148,59.32087460632209,8.441528768080325e-14
inset_090,Target_787,4,0.11,0.13,-0.09,0.09,0.0,0.0,-0.43246895148173786,-0.017298758059269517,0.08649379029634757,0.0,0.043246895148173786,0.43246895148173786,59.32087460632209,8.441528768080325e-14
inset_090,Target_788,1,0.1,0.13,-0.09,-0.09,0.0,0.0,-0.18285035643985342,-0.04022707841676775,0.03474156772357215,0.0,0.018285035643985342,0.18285035643985342,53.204280197330945,3.1031676915590914e-14
inset_090,Target_788,2,0.1,0.13,0.09,-0.09,0.0,0.0,-0.3185743323539714,-0.07008635311787371,0.003185743323539717,0.0,0.031857433235397144,0.3185743323539714,53.204280197330945,3.1031676915590914e-14
inset_090,Target_788,3,0.1,0.13,0.09,0.09,0.0,0.0,-9.08873830539271,-0.36354953221570846,0.09088738305392717,0.0,0.908873830539271,9.08873830539271,53.204280197330945,3.1031676915590914e-14
inset_090,Target_788,4,0.1,0.13,-0.09,0.09,0.0,0.0,-0.40983700581346455,-0.016393480232538584,0.07786903110455827,0.0,0.040983700581346455,0.40983700581346455,53.204280197330945,3.1031676915590914e-14
inset_090,Target_789,1,0.09,0.13,-0.09,-0.09,0.0,0.0,-0.18003131512131776,-0.03960688932668991,0.032405636721837196,0.0,0.018003131512131777,0.18003131512131776,49.86566419173365,5.551115123125783e-14
inset_090,Target_789,2,0.09,0.13,0.09,-0.09,0.0,0.0,-0.3005481459050098,-0.06612059209910215,0.0,0.0,0.030054814590500977,0.3005481459050098,49.86566419173365,5.551115123125783e-14
inset_090,Target_789,3,0.09,0.13,0.09,0.09,0.0,0.0,-9.091581413626542,-0.36366325654506176,0.0,0.0,0.9091581413626542,9.091581413626542,49.86566419173365,5.551115123125783e-14
inset_090,Target_789,4,0.09,0.13,-0.09,0.09,0.0,0.0,-0.4278391253471315,-0.01711356501388526,0.07701104256248366,0.0,0.04278391253471315,0.4278391253471315,49.86566419173365,5.551115123125783e-14
inset_090,Target_790,1,0.08,0.13,-0.09,-0.09,0.0,0.0,-0.19763303257867243,-0.04347926716730793,0.03359761553837431,0.0,0.019763303257867244,0.19763303257867243,49.29443632551901,2.7755575615628914e-14
inset_090,Target_790,2,0.08,0.13,0.09,-0.09,0.0,0.0,-0.3149903797594099,-0.06929788354707019,-0.0031499037975940974,-0.0,0.03149903797594099,0.3149903797594099,49.29443632551901,2.7755575615628914e-14
inset_090,Target_790,3,0.08,0.13,0.09,0.09,0.0,0.0,-8.986490246077283,-0.3594596098430914,-0.08986490246077278,-0.0,0.8986490246077282,8.986490246077283,49.29443632551901,2.7755575615628914e-14
inset_090,Target_790,4,0.08,0.13,-0.09,0.09,0.0,0.0,-0.5008863415846356,-0.020035453663385428,0.08515067806938804,0.0,0.05008863415846356,0.5008863415846356,49.29443632551901,2.7755575615628914e-14
inset_090,Target_791,1,0.07,0.13,-0.09,-0.09,0.0,0.0,-0.23675934223368858,-0.052087055291411485,0.03788149475739017,0.0,0.023675934223368857,0.23675934223368858,50.89303555629465,3.1031676915590914e-14
inset_090,Target_791,2,0.07,0.13,0.09,-0.09,0.0,0.0,-0.3590203140428885,-0.07898446908943546,-0.007180406280857766,-0.0,0.035902031404288846,0.3590203140428885,50.89303555629465,3.1031676915590914e-14
inset_090,Target_791,3,0.07,0.13,0.09,0.09,0.0,0.0,-8.760095662646476,-0.3504038265058591,-0.17520191325292944,-0.0,0.8760095662646477,8.760095662646476,50.89303555629465,3.1031676915590914e-14
inset_090,Target_791,4,0.07,0.13,-0.09,0.09,0.0,0.0,-0.6441246810769469,-0.02576498724307788,0.10305994897231151,0.0,0.06441246810769469,0.6441246810769469,50.89303555629465,3.1031676915590914e-14
inset_090,Target_792,1,0.06,0.13,-0.09,-0.09,0.0,0.0,-0.2963837397044861,-0.06520442273498694,0.044457560955672916,0.0,0.02963837397044861,0.2963837397044861,53.760870075883055,2.0816681711721685e-14
inset_090,Target_792,2,0.06,0.13,0.09,-0.09,0.0,0.0,-0.4262394958427599,-0.09377268908540717,-0.012787184875282796,-0.0,0.04262394958427599,0.4262394958427599,53.760870075883055,2.0816681711721685e-14
inset_090,Target_792,3,0.06,0.13,0.09,0.09,0.0,0.0,-8.405442858019223,-0.33621771432076897,-0.25216328574057667,-0.0,0.8405442858019223,8.405442858019223,53.760870075883055,2.0816681711721685e-14
inset_090,Target_792,4,0.06,0.13,-0.09,0.09,0.0,0.0,-0.8719339064335296,-0.034877356257341195,0.13079008596502945,0.0,0.08719339064335296,0.8719339064335296,53.760870075883055,2.0816681711721685e-14
inset_090,Target_793,1,0.05,0.13,-0.09,-0.09,0.0,0.0,-0.37289018032406257,-0.08203583967129377,0.052204625245368765,0.0,0.03728901803240626,0.37289018032406257,57.06503232359601,1.1188630228279524e-13
inset_090,Target_793,2,0.05,0.13,0.09,-0.09,0.0,0.0,-0.5071306452407253,-0.11156874195295956,-0.020285225809629007,-0.0,0.050713064524072524,0.5071306452407253,57.06503232359601,1.1188630228279524e-13
inset_090,Target_793,3,0.05,0.13,0.09,0.09,0.0,0.0,-7.923916331886333,-0.31695665327545336,-0.31695665327545325,-0.0,0.7923916331886333,7.923916331886333,57.06503232359601,1.1188630228279524e-13
inset_090,Target_793,4,0.05,0.13,-0.09,0.09,0.0,0.0,-1.1960628425488804,-0.047842513701955226,0.16744879795684328,0.0,0.11960628425488803,1.1960628425488804,57.06503232359601,1.1188630228279524e-13
inset_090,Target_794,1,0.04,0.13,-0.09,-0.09,0.0,0.0,-0.4599928855822139,-0.10119843482808706,0.05979907512568781,0.0,0.04599928855822139,0.4599928855822139,60.21276984343259,2.0816681711721685e-14
inset_090,Target_794,2,0.04,0.13,0.09,-0.09,0.0,0.0,-0.5901283974168677,-0.1298282474317109,-0.029506419870843383,-0.0,0.05901283974168677,0.5901283974168677,60.21276984343259,2.0816681711721685e-14
inset_090,Target_794,3,0.04,0.13,0.09,0.09,0.0,0.0,-7.326228153297212,-0.29304912613188855,-0.36631140766486053,-0.0,0.7326228153297212,7.326228153297212,60.21276984343259,2.0816681711721685e-14
inset_090,Target_794,4,0.04,0.13,-0.09,0.09,0.0,0.0,-1.6236505637037064,-0.06494602254814827,0.21107457328148185,0.0,0.16236505637037063,1.6236505637037064,60.21276984343259,2.0816681711721685e-14
inset_090,Target_795,1,0.03,0.13,-0.09,-0.09,0.0,0.0,-0.5491604182067801,-0.12081529200549161,0.0658992501848136,0.0,0.05491604182067801,0.5491604182067801,62.85006175936389,5.5619465775679635e-14
inset_090,Target_795,2,0.03,0.13,0.09,-0.09,0.0,0.0,-0.6632168127574191,-0.1459076988066322,-0.03979300876544514,-0.0,0.06632168127574191,0.6632168127574191,62.85006175936389,5.5619465775679635e-14
inset_090,Target_795,3,0.03,0.13,0.09,0.09,0.0,0.0,-6.632168127574189,-0.2652867251029676,-0.3979300876544513,-0.0,0.6632168127574188,6.632168127574189,62.85006175936389,5.5619465775679635e-14
inset_090,Target_795,4,0.03,0.13,-0.09,0.09,0.0,0.0,-2.155454641461612,-0.0862181856584645,0.2586545569753934,0.0,0.21554546414616121,2.155454641461612,62.85006175936389,5.5619465775679635e-14
inset_090,Target_796,1,0.02,0.13,-0.09,-0.09,0.0,0.0,-0.6305633369832164,-0.13872393413630763,0.06936196706815381,0.0,0.06305633369832164,0.6305633369832164,64.79701247291673,5.5619465775679635e-14
inset_090,Target_796,2,0.02,0.13,0.09,-0.09,0.0,0.0,-0.7157426245306677,-0.1574633773967469,-0.050101983717146734,-0.0,0.07157426245306678,0.7157426245306677,64.79701247291673,5.5619465775679635e-14
inset_090,Target_796,3,0.02,0.13,0.09,0.09,0.0,0.0,-5.869089521151475,-0.23476358084605903,-0.4108362664806032,-0.0,0.5869089521151475,5.869089521151475,64.79701247291673,5.5619465775679635e-14
inset_090,Target_796,4,0.02,0.13,-0.09,0.09,0.0,0.0,-2.7846045173346416,-0.11138418069338568,0.3063064969068106,0.0,0.2784604517334642,2.7846045173346416,64.79701247291673,5.5619465775679635e-14
inset_090,Target_797,1,0.01,0.13,-0.09,-0.09,0.0,0.0,-0.6944359477661116,-0.15277590850854456,0.06944359477661116,0.0,0.06944359477661116,0.6944359477661116,65.97930306124745,5.5754563049695966e-14
inset_090,Target_797,2,0.01,0.13,0.09,-0.09,0.0,0.0,-0.740055827546367,-0.16281228206020074,-0.05920446620370936,-0.0,0.0740055827546367,0.740055827546367,65.97930306124745,5.5754563049695966e-14
inset_090,Target_797,3,0.01,0.13,0.09,0.09,0.0,0.0,-5.069382418692614,-0.2027752967477046,-0.4055505934954091,-0.0,0.5069382418692614,5.069382418692614,65.97930306124745,5.5754563049695966e-14
inset_090,Target_797,4,0.01,0.13,-0.09,0.09,0.0,0.0,-3.496125805994907,-0.1398450322397963,0.3496125805994907,0.0,0.3496125805994907,3.496125805994907,65.97930306124745,5.5754563049695966e-14
inset_090,Target_798,1,0.0,0.13,-0.09,-0.09,0.0,0.0,-0.7326283987915407,-0.16117824773413897,0.06593655589123866,0.0,0.07326283987915408,0.7326283987915407,66.37462235649546,0.0
inset_090,Target_798,2,0.0,0.13,0.09,-0.09,0.0,0.0,-0.7326283987915407,-0.16117824773413897,-0.06593655589123866,-0.0,0.07326283987915408,0.7326283987915407,66.37462235649546,0.0
inset_090,Target_798,3,0.0,0.13,0.09,0.09,0.0,0.0,-4.26737160120846,-0.17069486404833842,-0.38406344410876136,-0.0,0.42673716012084595,4.26737160120846,66.37462235649546,0.0
inset_090,Target_798,4,0.0,0.13,-0.09,0.09,0.0,0.0,-4.26737160120846,-0.17069486404833842,0.38406344410876136,0.0,0.42673716012084595,4.26737160120846,66.37462235649546,0.0
inset_090,Target_799,1,-0.01,0.13,-0.09,-0.09,0.0,0.0,-0.740055827546367,-0.16281228206020074,0.05920446620370936,0.0,0.0740055827546367,0.740055827546367,65.97930306124745,2.823925224926892e-14
inset_090,Target_799,2,-0.01,0.13,0.09,-0.09,0.0,0.0,-0.6944359477661116,-0.15277590850854456,-0.06944359477661116,-0.0,0.06944359477661116,0.6944359477661116,65.97930306124745,2.823925224926892e-14
inset_090,Target_799,3,-0.01,0.13,0.09,0.09,0.0,0.0,-3.496125805994907,-0.1398450322397963,-0.3496125805994907,-0.0,0.3496125805994907,3.496125805994907,65.97930306124745,2.823925224926892e-14
inset_090,Target_799,4,-0.01,0.13,-0.09,0.09,0.0,0.0,-5.069382418692614,-0.2027752967477046,0.4055505934954091,0.0,0.5069382418692614,5.069382418692614,65.97930306124745,2.823925224926892e-14
inset_090,Target_800,1,-0.02,0.13,-0.09,-0.09,0.0,0.0,-0.7157426245306677,-0.1574633773967469,0.050101983717146734,0.0,0.07157426245306678,0.7157426245306677,64.79701247291673,2.797157557069881e-14
inset_090,Target_800,2,-0.02,0.13,0.09,-0.09,0.0,0.0,-0.6305633369832164,-0.13872393413630763,-0.06936196706815381,-0.0,0.06305633369832164,0.6305633369832164,64.79701247291673,2.797157557069881e-14
