target_name,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,x_mm,y_mm,z_mm,nx,ny,nz,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,x_m,y_m,z_m
Target_048,-3.874316779203398,-104.2731420541734,-133.42751604478275,-32.29934190104389,90.0,-3.8743167792033884,-40.0,-130.0,0.0,0.0,0.0,-1.0,-0.06761958406236147,-1.8199096502450893,-2.3287494677390206,-0.5637298624005803,1.5707963267948966,-0.0676195840623613,-0.04,-0.13,0.0
Target_049,-3.9692137447454785,-103.29485503119506,-134.8782301101321,-31.826914858672865,90.0,-3.9692137447454687,-50.0,-130.0,0.0,0.0,0.0,-1.0,-0.06927584856122238,-1.8028353206645837,-2.354069204684359,-0.5554844550357473,1.5707963267948966,-0.06927584856122221,-0.05,-0.13,0.0
Target_050,-4.0688248742958395,-102.30557866887133,-136.31753308708903,-31.376888244039606,90.0,-4.06882487429583,-60.0,-130.0,0.0,0.0,0.0,-1.0,-0.0710143907435068,-1.7855691909298823,-2.379189780566014,-0.5476300088887932,1.5707963267948966,-0.07101439074350663,-0.06,-0.13,0.0
Target_051,-4.173506262655298,-101.30374378854995,-137.7454940759144,-30.950762135535697,90.0,-4.173506262655289,-70.0,-130.0,0.0,0.0,0.0,-1.0,-0.07284142563593822,-1.7680838737069509,-2.40411240141105,-0.5401927052666894,1.5707963267948966,-0.07284142563593805,-0.07,-0.13,0.0
Target_052,-4.283650341253384,-100.28761648777609,-139.16213137489973,-30.55025213732418,90.0,-4.2836503412533755,-80.0,-130.0,0.0,0.0,0.0,-1.0,-0.07476380245905023,-1.7503491066890444,-2.428837386584904,-0.5332024871107418,1.5707963267948966,-0.07476380245905008,-0.08,-0.13,0.0
Target_053,-4.399690570123589,-99.25527132169842,-140.56740813020775,-30.17732054809383,90.0,-4.39969057012358,-90.0,-130.0,0.0,0.0,0.0,-1.0,-0.07678908651760309,-1.7323312845239414,-2.4533640928667713,-0.5266936029939772,1.5707963267948966,-0.07678908651760293,-0.09,-0.13,0.0
Target_054,-4.522106864985412,-98.20455977691577,-141.96122694523928,-29.83421327784493,90.0,-4.5221068649854015,-100.0,-130.0,0.0,0.0,0.0,-1.0,-0.07892565392103412,-1.7139929085787682,-2.4776908203653174,-0.5207052514406039,1.5707963267948966,-0.07892565392103393,-0.1,-0.13,0.0
Target_055,-4.651431895059371,-97.13307307020509,-143.3434232593379,-29.52350367045704,90.0,-4.651431895059362,-110.0,-130.0,0.0,0.0,0.0,-1.0,-0.0811828015010654,-1.695291937655316,-2.5018146969552677,-0.5152823457741063,1.5707963267948966,-0.08118280150106523,-0.11,-0.13,0.0
Target_056,-4.788258416035752,-96.03809809624173,-144.71375725920416,-29.24814464455411,90.0,-4.7882584160357435,-120.0,-130.0,0.0,0.0,0.0,-1.0,-0.08357087479615233,-1.6761810191327162,-2.525731537104958,-0.5104764241470158,1.5707963267948966,-0.08357087479615218,-0.12,-0.13,0.0
Target_057,-4.933247838309789,-94.91656509637974,-146.07190402895498,-29.011530874665304,90.0,-4.93324783830978,-130.0,-130.0,0.0,0.0,0.0,-1.0,-0.08610141759539867,-1.6566065756153554,-2.5494356699624348,-0.5063467348069,1.5707963267948966,-0.08610141759539852,-0.13,-0.13,0.0
