trial,sample,target_name,time_s,duration_s,x_m,y_m,z_m,x_mm,y_mm,z_mm,force_target_N,current_force_N,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad
5,86,Line_T05_0086,1.7104764179532514,3.261838750515503,-0.024164707151017872,0.07107043052197846,0.0,-24.164707151017872,71.07043052197847,0.0,0.368658144764761,0.13554298741542373,23.141123281411964,-104.43726035817505,-133.18155652324288,-32.381183118582086,90.0,23.14112328141193,0.4038887938705531,-1.8227740550127072,-2.32445666426152,-0.5651582611104629,1.5707963267948966,0.4038887938705525
5,87,Line_T05_0087,1.7303656786271264,3.261838750515503,-0.02516814886273897,0.0712520483006854,0.0,-25.168148862738967,71.2520483006854,0.0,0.368658144764761,0.029845233298178883,23.21796159390833,-104.33940884132318,-133.32829191687426,-32.332299241802566,90.0,23.217961593908292,0.405229875415291,-1.8210662238655713,-2.3270176800095976,-0.564305076509521,1.5707963267948966,0.4052298754152903
5,88,Line_T05_0088,1.7502549393010014,3.261838750515503,-0.026171590574460057,0.07143366607939233,0.0,-26.17159057446006,71.43366607939234,0.0,0.368658144764761,0.003838883450180814,23.295138145561708,-104.24146784773656,-133.4749009520418,-32.283631200221656,90.0,23.29513814556167,0.4065768603469779,-1.81935683105481,-2.3295764903864433,-0.5634556589434366,1.5707963267948966,0.4065768603469772
5,89,Line_T05_0089,1.7701441999748766,3.261838750515503,-0.02717503228618115,0.07161528385809927,0.0,-27.17503228618115,71.61528385809927,0.0,0.368658144764761,0.010161205493477467,23.372655061147167,-104.14343605706298,-133.62138372414043,-32.23518021879659,90.0,23.372655061147128,0.40792978574993466,-1.8176458535359303,-2.332133097057013,-0.5626100297917467,1.5707963267948966,0.407929785749934
5,90,Line_T05_0090,1.7900334606487516,3.261838750515503,-0.02817847399790224,0.0717969016368062,0.0,-28.178473997902238,71.7969016368062,0.0,0.368658144764761,0.0,23.450514482186673,-104.04531213759432,-133.76774032346714,-32.186947538938526,90.0,23.450514482186627,0.4092886890007706,-1.8159332680662403,-2.334687501597286,-0.561768210721163,1.5707963267948966,0.40928868900076976
5,91,Line_T05_0091,1.8099227213226265,3.261838750515503,-0.02918191570962334,0.07197851941551314,0.0,-29.18191570962334,71.97851941551315,0.0,0.368658144764761,0.02855116602066906,23.528718567100988,-103.94709474609976,-133.91397083519269,-32.13893441870755,90.0,23.528718567100945,0.4106536077710346,-1.81421905120194,-2.337239705493773,-0.5609302236889766,1.5707963267948966,0.4106536077710339
5,92,Line_T05_0092,1.8298119819965015,3.261838750515503,-0.030185357421344428,0.07216013719422007,0.0,-30.185357421344428,72.16013719422007,0.0,0.368658144764761,0.021215595332849606,23.607269491363137,-103.8487825276568,-134.06007533933314,-32.09114213301006,90.0,23.6072694913631,0.4120245800298938,-1.8125031792951702,-2.339789710143018,-0.5600960909465016,1.5707963267948966,0.4120245800298931
5,93,Line_T05_0093,1.8497012426703765,3.261838750515503,-0.03118879913306552,0.072341754972927,0.0,-31.18879913306552,72.34175497292699,0.0,0.368658144764761,0.09419406078733114,23.68616944765328,-103.75037411547991,-134.20605391072024,-32.04357197379986,90.0,23.68616944765324,0.41340164404683644,-1.810785628491024,-2.3423375168510803,-0.5592658350425856,1.5707963267948966,0.41340164404683566
5,94,Line_T05_0094,1.8695905033442517,3.261838750515503,-0.03219224084478661,0.07252337275163394,0.0,-32.19224084478661,72.52337275163394,0.0,0.368658144764761,0.1450332228211044,23.76542064601505,-103.65186813074682,-134.35190661897138,-31.996225250281793,90.0,23.76542064601501,0.4147848383944004,-1.8090663747245124,-2.3448831268330133,-0.558439478827164,1.5707963267948966,0.4147848383943997
5,95,Line_T05_0095,1.8894797640181267,3.261838750515503,-0.033195682556507705,0.07270499053034088,0.0,-33.195682556507705,72.70499053034088,0.0,0.368658144764761,0.07041343373736994,23.84502531401334,-103.55326318242209,-134.4976335284584,-31.949103289119535,90.0,23.845025314013302,0.4161742019509276,-1.8073453937174868,-2.3474265412123176,-0.5576170454548857,1.5707963267948966,0.4161742019509269
